"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"SEEDGWAS3606:MRG:4:250069713",-69.36666667,-32.68333333,"maize",3.52891659736633,12.0373334884644,50.3311882019043,447.864318847656,15.9930000305176,-7.92325019836426,23.9162502288818,-1.14512503147125,6.73504161834717,9.01483345031738,-2.02970838546753,239,35,11,40.1789321899414,92,38,38,85,8.7786457818195,-6.00050749330663,-0.21969528522444
"SEEDGWAS3607:MRG:4:250064476",-38.18333333,-10.7,"maize",23.6979484558105,10.045937538147,69.0264587402344,174.236358642578,31.0907497406006,16.5370006561279,14.5537490844727,23.1730842590332,23.6668739318848,25.4684581756592,21.3324165344238,697,93,24,42.7049446105957,267,90,167,216,-1.61618700677331,0.359851970907376,-0.585479205278433
"SEEDGWAS3608:MRG:4:250064477",-39.41666667,-17.83333333,"maize",24.3453426361084,8.33893013000488,64.1616973876953,164.384918212891,30.7095241546631,17.7127819061279,12.9967422485352,24.7899322509766,22.2456550598145,26.2916870117188,22.2456550598145,1455,173,79,23.9861297607422,472,281,354,281,-3.7839601631324,-1.74594858163333,-1.85980420470768
"SEEDGWAS3609:MRG:4:250069714",-67.5,-30,"maize",16.3297920227051,15.1088333129883,49.3023681640625,571.8203125,31.0874996185303,0.44225001335144,30.6452503204346,21.9462089538574,9.07187461853027,23.0343322753906,9.07187461853027,282,67,1,95.5089340209961,169,8,169,8,4.71278584103936,1.1072913351752,-2.73493813111788
"SEEDGWAS3610:MRG:4:250069715",-69.345985,-32.601893,"maize",9.15572929382324,13.9353332519531,52.1317329406738,484.561828613281,23.0322494506836,-3.69875001907349,26.7309989929199,15.1187496185303,9.33008289337158,15.1187496185303,3.140625,164,20,7,25.8949508666992,54,32,54,42,6.55126684663396,-2.63824389359381,-1.97546236004312
"SEEDGWAS3611:MRG:4:250064478",-104.2,19.8,"maize",22.3017082214355,16.6152496337891,66.3071670532227,223.618469238281,34.1137504577637,9.05574989318848,25.0580005645752,24.0120429992676,21.1013336181641,24.5896682739258,19.2269992828369,949,223,3,111.586059570312,624,19,405,46,-0.149228123646886,2.21838922684497,0.43209639283608
"SEEDGWAS3612:MRG:4:250069716",-102.716667,20.05,"maize",19.8975734710693,15.6711874008179,63.4319763183594,234.98046875,31.929500579834,7.22399997711182,24.7055015563965,21.6886672973633,19.4907913208008,22.5493335723877,16.6892490386963,792,200,4,110.354209899902,519,17,204,34,1.16741693103057,1.48869744471527,0.413932172287908
"SEEDGWAS3614:MRG:4:250064479",-91.892968,16.318734,"maize",19.7731971740723,12.8076877593994,67.8867645263672,144.595916748047,29.2377510070801,10.3715000152588,18.8662509918213,20.6141242980957,18.5640830993652,21.4204158782959,17.7869167327881,1529,288,25,81.0941619873047,746,81,457,91,-1.02682706778617,-0.802757934735536,1.21863121877617
"SEEDGWAS3616:MRG:4:250064481",-91.93333333,16.13333333,"maize",20.8062496185303,12.5226669311523,68.231330871582,140.713775634766,30.0792503356934,11.7259998321533,18.35325050354,21.6473331451416,19.6442909240723,22.4323749542236,18.9023323059082,1535,308,19,87.8417587280273,771,59,459,69,-1.47744848453525,-0.200039296551262,1.40667882962086
"SEEDGWAS3617:MRG:4:250064482",-92.56666667,16.33333333,"maize",24.4225311279297,12.9951877593994,65.5718154907227,164.108352661133,34.335750579834,14.5174999237061,19.8182506561279,24.916166305542,22.2932910919189,26.4127502441406,22.2932910919189,1354,294,3,100.701683044434,731,13,435,13,-2.18655647479572,2.05000811931727,0.870042865977617
"SEEDGWAS3618:MRG:4:250069748",-99.532281,17.649322,"maize",20.8591461181641,13.1462917327881,70.6305694580078,142.032104492188,30.300500869751,11.6877498626709,18.6127510070801,21.1757926940918,19.8985824584961,22.6200008392334,19.0401668548584,1052,221,4,103.716300964355,643,22,266,26,-0.356896354837742,0.807325123130521,1.66411381456343
