species,gene,pvalue
Arabidopsis,AT2G20230,0.0005465171
Arabidopsis,AT3G59140,0.0005476897
Arabidopsis,AT1G61840,0.0005479687
Arabidopsis,AT3G53130,0.0005606616
Arabidopsis,AT2G25260,0.0005626614
Arabidopsis,AT5G15610,0.0005635856
Arabidopsis,AT5G65770,0.0005644515
Arabidopsis,AT4G01350,0.0005694901
Arabidopsis,AT5G61380,0.0005716916
Arabidopsis,AT5G15845,0.0005731269
Arabidopsis,AT5G58120,0.0005738219
Arabidopsis,AT5G17460,0.0005744096
Arabidopsis,AT1G45545,0.0005753265
Arabidopsis,AT5G66010,0.0005858359
Arabidopsis,AT1G75190,0.0005865341
Arabidopsis,AT2G20616,0.0005883252
Arabidopsis,AT1G52100,0.0005904383
Arabidopsis,AT3G54070,0.0005924245
Arabidopsis,AT1G20630,0.0005930094
Arabidopsis,AT2G13900,0.0005942798
Arabidopsis,AT1G16980,0.0005974187
Arabidopsis,AT5G16630,0.0006028214
Arabidopsis,AT5G15680,0.000604434
Arabidopsis,AT5G35375,0.0006121455
Arabidopsis,AT1G06840,0.000613106
Arabidopsis,AT1G44350,0.0006174025
Arabidopsis,AT5G35370,0.0006174214
Arabidopsis,AT1G09210,0.000620078
Arabidopsis,AT3G56600,0.0006211421
Arabidopsis,AT2G31530,0.0006217703
Arabidopsis,AT2G28360,0.0006233852
Arabidopsis,AT3G29791,0.0006249446
Arabidopsis,AT4G00550,0.0006260052
Arabidopsis,AT2G44670,0.0006264273
Arabidopsis,AT1G52630,0.0006301071
Arabidopsis,AT4G36910,0.0006311506
Arabidopsis,AT3G58900,0.0006328153
Arabidopsis,AT5G15280,0.0006330028
Arabidopsis,AT5G15290,0.0006330028
Arabidopsis,AT2G17080,0.0006341966
Arabidopsis,AT1G14790,0.0006375277
Arabidopsis,AT3G17330,0.0006386051
Arabidopsis,AT3G17340,0.0006386051
Arabidopsis,AT3G17380,0.0006386051
Arabidopsis,AT3G17410,0.0006386051
Arabidopsis,AT3G17440,0.0006386051
Arabidopsis,AT3G17510,0.0006386051
Arabidopsis,AT3G17540,0.0006386051
Arabidopsis,AT3G17560,0.0006386051
Arabidopsis,AT3G26612,0.0006390631
Arabidopsis,AT5G09460,0.0006407615
Arabidopsis,AT3G13880,0.0006417981
Arabidopsis,AT1G52857,0.0006420479
Arabidopsis,AT4G04730,0.0006447308
Arabidopsis,AT4G09190,0.0006470651
Arabidopsis,AT3G22410,0.0006482749
Arabidopsis,AT3G03530,0.000649575
Arabidopsis,AT4G11610,0.0006520598
Arabidopsis,AT1G14730,0.0006521845
Arabidopsis,AT5G61040,0.0006525064
Arabidopsis,AT5G66150,0.0006528307
Arabidopsis,AT3G47290,0.0006532756
Arabidopsis,AT5G29560,0.0006534789
Arabidopsis,AT5G65430,0.0006547212
Arabidopsis,AT4G11740,0.0006605197
Arabidopsis,AT5G15190,0.0006666943
Arabidopsis,AT5G65850,0.000667139
Arabidopsis,AT5G65810,0.0006681886
Arabidopsis,AT5G65830,0.0006681886
Arabidopsis,AT2G45520,0.0006688965
Arabidopsis,AT1G16500,0.0006719379
Arabidopsis,AT1G61732,0.0006721038
Arabidopsis,AT5G16350,0.0006727845
Arabidopsis,AT2G13680,0.0006744078
Arabidopsis,AT2G03370,0.0006755309
Arabidopsis,AT1G65845,0.000676119
Arabidopsis,AT1G28630,0.000677523
Arabidopsis,AT5G47380,0.000681203
Arabidopsis,AT5G60130,0.0006815627
Arabidopsis,AT5G62720,0.0006820695
Arabidopsis,AT2G39590,0.0006828536
Arabidopsis,AT4G00760,0.0006899148
Arabidopsis,AT3G58877,0.0006916609
Arabidopsis,AT4G39420,0.0006928021
Arabidopsis,AT4G11600,0.0006951743
Arabidopsis,AT3G46860,0.0006967532
Arabidopsis,AT4G14030,0.0006978993
Arabidopsis,AT3G25710,0.0006983092
Arabidopsis,AT3G59130,0.0006994356
