GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
epigenetic regulation of gene expression (GO:0040029)	256	122	97.98	+	1.25	2.34E-03
response to abscisic acid (GO:0009737)	634	302	242.66	+	1.24	1.25E-06
regulation of organelle organization (GO:0033043)	164	78	62.77	+	1.24	1.56E-02
negative regulation of gene expression (GO:0010629)	423	201	161.9	+	1.24	1.00E-04
mitotic cell cycle (GO:0000278)	240	114	91.86	+	1.24	4.03E-03
cellular response to lipid (GO:0071396)	544	258	208.21	+	1.24	1.21E-05
response to carbohydrate (GO:0009743)	211	100	80.76	+	1.24	6.86E-03
cellular response to chemical stress (GO:0062197)	163	77	62.39	+	1.23	1.92E-02
monoatomic ion homeostasis (GO:0050801)	270	127	103.34	+	1.23	3.72E-03
response to lipid (GO:0033993)	1061	499	406.1	+	1.23	3.44E-09
homeostatic process (GO:0042592)	479	225	183.34	+	1.23	9.76E-05
abscisic acid-activated signaling pathway (GO:0009738)	245	115	93.77	+	1.23	5.53E-03
response to fatty acid (GO:0070542)	226	106	86.5	+	1.23	8.88E-03
terpenoid biosynthetic process (GO:0016114)	143	67	54.73	+	1.22	3.83E-02
response to jasmonic acid (GO:0009753)	222	104	84.97	+	1.22	1.02E-02
monoatomic cation homeostasis (GO:0055080)	252	118	96.45	+	1.22	6.14E-03
regulation of developmental process (GO:0050793)	905	423	346.39	+	1.22	1.42E-07
intracellular monoatomic cation homeostasis (GO:0030003)	184	86	70.43	+	1.22	2.22E-02
regulation of transcription by RNA polymerase II (GO:0006357)	581	271	222.38	+	1.22	3.35E-05
regulation of abscisic acid-activated signaling pathway (GO:0009787)	133	62	50.91	+	1.22	4.94E-02
regulation of cellular response to alcohol (GO:1905957)	133	62	50.91	+	1.22	4.94E-02
regulation of response to alcohol (GO:1901419)	133	62	50.91	+	1.22	4.94E-02
regulation of cellular component organization (GO:0051128)	310	144	118.65	+	1.21	3.27E-03
intracellular chemical homeostasis (GO:0055082)	265	123	101.43	+	1.21	7.53E-03
intracellular monoatomic ion homeostasis (GO:0006873)	192	89	73.49	+	1.21	2.51E-02
phyllome development (GO:0048827)	520	241	199.03	+	1.21	1.54E-04
response to nutrient levels (GO:0031667)	287	133	109.85	+	1.21	5.92E-03
cellular response to oxygen-containing compound (GO:1901701)	751	347	287.44	+	1.21	8.10E-06
regulation of developmental growth (GO:0048638)	196	90	75.02	+	1.2	3.22E-02
plant-type cell wall biogenesis (GO:0009832)	183	84	70.04	+	1.2	3.91E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	677	310	259.12	+	1.2	6.06E-05
terpenoid metabolic process (GO:0006721)	190	87	72.72	+	1.2	3.59E-02
cell wall biogenesis (GO:0042546)	245	112	93.77	+	1.19	1.74E-02
regulation of anatomical structure morphogenesis (GO:0022603)	206	94	78.85	+	1.19	3.09E-02
shoot system development (GO:0048367)	884	403	338.35	+	1.19	6.57E-06
response to oxygen-containing compound (GO:1901700)	1788	815	684.35	+	1.19	7.89E-11
polysaccharide biosynthetic process (GO:0000271)	233	106	89.18	+	1.19	2.54E-02
defense response to bacterium (GO:0042742)	425	193	162.67	+	1.19	2.53E-03
negative regulation of macromolecule metabolic process (GO:0010605)	726	329	277.88	+	1.18	9.11E-05
negative regulation of biosynthetic process (GO:0009890)	698	316	267.16	+	1.18	1.49E-04
chromatin remodeling (GO:0006338)	420	190	160.75	+	1.18	3.33E-03
