,TN_maize,NHx_maize
SEEDGWAS1302:MRG:4:250070326,420,341.4599915
SEEDGWAS1303:MRG:4:250070327,387,599.789978
SEEDGWAS1304:MRG:4:250070328,682,247.5299988
SEEDGWAS1305:MRG:4:250070329,558,247.5299988
SEEDGWAS1306:MRG:4:250070330,478,247.5299988
SEEDGWAS1307:MRG:4:250070331,537,247.5299988
SEEDGWAS1308:MRG:4:250070332,546,247.5299988
SEEDGWAS1309:MRG:4:250070333,572,247.5299988
SEEDGWAS131:MRG:4:250056099,NA,34.88999939
SEEDGWAS1310:MRG:4:250070334,558,247.5299988
SEEDGWAS1311:MRG:4:250070335,569,30.87000084
SEEDGWAS1312:MRG:4:250070336,569,30.87000084
SEEDGWAS1313:MRG:4:250070337,570,30.87000084
SEEDGWAS1316:MRG:4:250070338,252,30.87000084
SEEDGWAS1317:MRG:4:250070339,467,247.5299988
SEEDGWAS132:MRG:4:250056100,371,342.6799927
SEEDGWAS1320:MRG:4:250070340,320,247.5299988
SEEDGWAS1321:MRG:4:250070341,267,30.87000084
SEEDGWAS1322:MRG:4:250070342,351,30.87000084
SEEDGWAS1323:MRG:4:250070343,361,30.87000084
SEEDGWAS1324:MRG:4:250070344,252,30.87000084
SEEDGWAS1325:MRG:4:250070345,305,30.87000084
SEEDGWAS1326:MRG:4:250070346,305,30.87000084
SEEDGWAS1327:MRG:4:250070347,305,30.87000084
SEEDGWAS1329:MRG:4:250070348,532,247.5299988
SEEDGWAS133:MRG:4:250056101,524,113.8600006
SEEDGWAS1330:MRG:4:250070349,393,247.5299988
SEEDGWAS1332:MRG:4:250070350,285,30.87000084
SEEDGWAS1333:MRG:4:250070351,320,30.87000084
SEEDGWAS1334:MRG:4:250105240,251,30.87000084
SEEDGWAS1335:MRG:4:250105241,239,539.8900146
SEEDGWAS1336:MRG:4:250105242,239,539.8900146
SEEDGWAS1337:MRG:4:250105243,239,539.8900146
SEEDGWAS1338:MRG:4:250105244,248,539.8900146
SEEDGWAS134:MRG:4:250056102,NA,342.6799927
SEEDGWAS1340:MRG:4:250105245,228,539.8900146
SEEDGWAS1342:MRG:4:250105246,308,539.8900146
SEEDGWAS1344:MRG:4:250105247,332,539.8900146
SEEDGWAS1346:MRG:4:250105248,248,539.8900146
