,rice_aridity_index
IRIS_313-8723,25454
IRIS_313-8781,25454
IRIS_313-8811,15599
IRIS_313-8883,12314
IRIS_313-8894,20880
IRIS_313-8987,12254
IRIS_313-9050,12825
IRIS_313-9070,25454
IRIS_313-9101,12032
IRIS_313-9102,19982
IRIS_313-9187,12533
IRIS_313-9210,25454
IRIS_313-9375,17517
IRIS_313-9558,11125
IRIS_313-9582,25083
IRIS_313-9694,13662
IRIS_313-9699,25454
IRGC_33130,14246
IRGC_33888,14246
IRIS_313-11195,14246
IRIS_313-11405,14246
IRIS_313-11541,11987
IRIS_313-11542,8494
IRIS_313-11543,20823
IRIS_313-11544,8494
IRIS_313-11545,12233
IRIS_313-11546,12233
IRIS_313-11547,8494
IRIS_313-11548,12233
IRIS_313-11549,12233
IRIS_313-11816,14246
IRIS_313-11817,14246
IRIS_313-11818,14246
IRIS_313-11819,14246
IRIS_313-11820,14246
IRIS_313-11993,15074
IRIS_313-12050,9851
IRIS_313-12074,15074
IRIS_313-12266,12754
IRIS_313-12268,24309
IRIS_313-12269,30740
IRIS_313-12270,24309
IRIS_313-12286,0
IRIS_313-12287,0
IRIS_313-12288,23094
IRIS_313-12289,7120
IRIS_313-12290,14581
IRIS_313-12291,7490
IRIS_313-12292,23094
IRIS_313-12296,25613
IRIS_313-8659,12233
IRIS_313-8751,14791
IRIS_313-8793,8494
IRIS_313-9182,14246
IRGC_61953,10876
IRIS_313-10007,8354
IRIS_313-10924,10876
IRIS_313-10925,10876
IRIS_313-10926,10876
IRIS_313-10927,10876
IRIS_313-11561,9426
IRIS_313-11563,9950
IRIS_313-11564,9670
IRIS_313-11565,10105
IRIS_313-11566,14431
IRIS_313-11567,9119
IRIS_313-11568,11121
IRIS_313-11624,19190
IRIS_313-11625,19190
IRIS_313-11626,13054
IRIS_313-11627,9814
IRIS_313-11629,10185
IRIS_313-11630,8801
IRIS_313-11632,15715
IRIS_313-11671,9283
IRIS_313-11672,5692
IRIS_313-11943,10876
IRIS_313-11944,10876
IRIS_313-12093,10876
IRIS_313-12139,10039
IRIS_313-12180,12298
IRIS_313-12182,8446
IRIS_313-12183,7862
IRIS_313-7933,10731
IRIS_313-9698,11341
IRGC_27798,1361
IRGC_27819,1361
IRGC_27869,1361
IRGC_28134,1361
IRGC_38698,4153
IRGC_67019,3338
IRGC_73118,1413
IRGC_73124,344
IRGC_73126,344
IRIS_313-11020,1361
IRIS_313-11021,1361
IRIS_313-11022,1361
IRIS_313-11023,1361
IRIS_313-11024,1361
IRIS_313-11025,1361
IRIS_313-11026,1361
IRIS_313-11027,1361
IRIS_313-11028,610
IRIS_313-11029,1361
IRIS_313-11030,1361
IRIS_313-11031,1361
IRIS_313-11032,1361
IRIS_313-11033,715
IRIS_313-11034,1361
IRIS_313-11035,715
IRIS_313-11036,1361
IRIS_313-11037,1361
IRIS_313-11829,4070
IRIS_313-11888,686
IRIS_313-11889,702
IRIS_313-8390,1361
IRIS_313-8398,1361
IRIS_313-9283,344
IRIS_313-9449,583
IRIS_313-9601,894
IRIS_313-9695,1413
IRGC_121705,19334
IRGC_23364,13783
IRGC_26872,17394
IRGC_328,11337
IRGC_3849,19334
IRGC_4020,19334
IRGC_44455,12404
IRGC_44513,21494
IRGC_44600,12137
IRGC_5423,19334
IRGC_55418,25676
IRGC_67428,12761
IRGC_67429,13503
IRGC_67431,12761
IRGC_74606,15263
IRGC_8182,19334
IRGC_8244,19334
IRGC_8245,19334
IRGC_9804,19334
IRIS_313-10433,19334
IRIS_313-10489,19334
IRIS_313-10510,19334
IRIS_313-10511,19334
IRIS_313-10514,19334
IRIS_313-10577,21222
IRIS_313-10578,21494
IRIS_313-10580,21494
