,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_9674,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9675,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9676,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9677,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_9678,0.454885157,1.096561073,-1.517489345
BRIDGE_HOR_7383,0.407732337,1.600692848,-1.465046578
BRIDGE_HOR_9681,0.47678202,0.765451828,-1.324759877
BRIDGE_HOR_9679,0.45798485,1.295683227,-1.690109443
BRIDGE_HOR_9680,0.45798485,1.295683227,-1.690109443
BRIDGE_HOR_10829,-2.341731941,-1.738660149,-0.983479885
BRIDGE_HOR_10830,-2.341731941,-1.738660149,-0.983479885
BRIDGE_HOR_9692,0.466506115,1.116121396,-1.384950816
BRIDGE_HOR_9693,0.466506115,1.116121396,-1.384950816
BRIDGE_HOR_7384,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7385,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7386,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7387,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7388,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7438,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_4944,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_9694,0.466506115,1.116121396,-1.384950816
BRIDGE_HOR_4945,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_4946,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_7279,0.361167425,2.2164679,-1.862734894
BRIDGE_HOR_9686,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9687,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9688,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9689,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9690,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9691,0.457673653,1.919021372,-2.024254946
BRIDGE_HOR_9700,0.371810958,2.021686367,-1.911374999
BRIDGE_HOR_9696,0.371810958,2.021686367,-1.911374999
