,AT_PC1,AT_PC2,AT_PC3
7213,1.408271884,0.073070335,-1.007487963
7217,-1.826068098,0.969918313,-1.708613459
7218,-2.241113255,-0.794711304,-1.093344382
7223,-0.29302965,-0.18021479,-0.850484588
7231,-0.29302965,-0.18021479,-0.850484588
7244,-0.122204897,-0.108877639,-0.993438369
7248,-2.641632415,-1.930578881,2.033590555
7250,-0.634533765,-1.05742371,-0.916734282
7255,1.421655723,-0.687535401,0.112415361
7258,-0.641836895,-1.028205514,-0.962148999
7268,0.196126898,-0.159509925,-1.274412122
7276,-0.653311321,-0.913347185,-0.876518982
7280,-0.918173795,-0.785999486,-1.237291403
7282,-0.29302965,-0.18021479,-0.850484588
7287,-0.79087143,-0.790051317,-1.538821349
7288,-10.26241333,-8.423370019,5.771738576
7296,2.093486803,-2.390827823,0.062218679
7298,-1.349387948,-4.271737914,-0.041565197
7305,-0.223447379,-0.566223586,-1.128061359
7306,-6.443621403,-0.870532791,2.776971162
7307,-4.108277934,0.520630173,-0.981768517
7314,-5.559919727,-2.617122062,-0.095134052
7316,-1.714994189,-0.437374317,-1.47758732
7319,-0.350707433,5.259051699,-0.557278402
7320,-2.280530917,0.570772015,-1.838871124
7322,2.649018221,-2.147068324,0.216194872
7323,3.153203516,-0.32905814,0.501487681
7327,-1.167776909,3.710317614,-0.335492188
7328,-1.167776909,3.710317614,-0.335492188
7332,-6.423239355,0.207994014,3.81394624
7333,0.416163277,-1.248564526,-0.114753518
7337,-3.029599553,-2.016196781,0.084962193
7342,-2.878863386,-0.401775922,-2.175382661
7343,0.697759427,0.184871217,-1.147119524
7344,-1.713091511,-2.193154075,1.729385836
7346,0.844884321,0.779799026,-0.814705452
7347,2.889075408,-2.095535305,0.564825925
7349,1.052681463,-0.3932373,-0.191691101
7350,-4.004418741,2.169589554,1.888073544
7353,-2.233000513,-0.759108617,-1.207179117
7354,0.075723408,-1.35244006,-1.630472493
7356,1.906748291,-0.546092207,3.293044344
7358,1.906748291,-0.546092207,3.293044344
7359,1.906748291,-0.546092207,3.293044344
7372,-3.625244148,-5.233132882,2.3376285
7373,-5.292408283,-3.771533602,8.881763839
7377,2.137809302,-0.947925765,2.866211616
7378,-1.94899488,-1.15845645,1.115764482
7382,-1.772487058,-0.387289986,-1.310826009
7383,-6.443621403,-0.870532791,2.776971162
7384,-1.890230543,-0.526026361,-1.205302306
7387,-4.684842512,-2.421437997,-0.766608995
7394,2.010820239,0.269637382,-0.670658663
7396,2.386148559,-1.273884328,0.419600168
7404,-0.280713663,-0.323937386,-0.811684932
7411,-2.306476186,-3.139185941,2.110775631
7413,1.714462528,-1.583294932,-0.303567415
7415,-0.001117292,-0.251235741,-0.718284645
7416,-1.773602994,3.485351189,2.351950173
7417,-2.239732778,-2.331388124,2.00082619
7418,-2.239732778,-2.331388124,2.00082619
7419,-0.55143994,-0.902837556,-0.990692532
7424,1.61327577,0.377176931,-0.509547259
7430,-1.409001208,-0.600808067,-0.739723344
7461,0.834785943,-1.089626232,-0.253994795
7475,-0.645357244,-2.261490149,4.124308718
7477,-2.254398855,-2.018716343,3.162700864
7514,1.271967044,-1.215637475,3.736773002
7515,1.271967044,-1.215637475,3.736773002
7516,-0.018507754,-0.784371273,-2.529092826
7517,-0.018507754,-0.784371273,-2.529092826
7520,1.067836714,-0.885282611,-0.595959897
7521,1.067836714,-0.885282611,-0.595959897
7523,1.273913502,-1.116396926,3.23138438
7525,0.860454431,-1.106424525,2.359853388
7529,0.860454431,-1.106424525,2.359853388
7530,0.860454431,-1.106424525,2.359853388
7566,1.233951782,-1.045988852,3.047292279
7568,1.233951782,-1.045988852,3.047292279
7717,1.545931628,-1.049824434,3.825238435
7757,1.545931628,-1.049824434,3.825238435
7767,1.545931628,-1.049824434,3.825238435
7917,1.273913502,-1.116396926,3.23138438
7947,1.273913502,-1.116396926,3.23138438
8037,1.480322747,-1.123873002,3.950355132
8057,1.480322747,-1.123873002,3.950355132
8077,1.480322747,-1.123873002,3.950355132
8132,0.860454431,-1.106424525,2.359853388
8171,0.860454431,-1.106424525,2.359853388
8214,-1.012091475,0.647291078,-2.011818625
8222,0.418724085,-0.523973322,-2.358274489
8227,1.397523774,-2.753590887,-1.199650777
8230,1.113422276,-0.572058695,-2.102478014
8231,0.199554303,-0.869900305,-2.588531664
8233,1.629157436,-0.915990831,3.743478936
8234,0.199554303,-0.869900305,-2.588531664
8235,0.915042415,0.154381461,0.858550757
8236,1.356719029,-0.500823813,-0.587456044
8237,0.199607796,-0.597874483,-2.267770384
8238,-2.684077993,0.240281359,-1.830789666
8239,-1.476008782,-0.507245793,-0.341585388
8240,-0.079319424,-0.862683961,-2.030104443
8241,-0.877260532,-1.561344526,-1.81426561
8242,0.609239579,-0.375026297,-2.939061748
8243,-2.050307567,2.810914839,1.848559786
8244,-0.63332231,0.63794345,-1.52063265
8246,-2.906425677,0.813158354,5.834662865
8247,-0.877108776,-1.517470543,-1.582368622
8249,1.067606921,-1.012774932,-0.786416859
8256,-0.945611999,-2.098144625,-0.800954012
8258,-0.945611999,-2.098144625,-0.800954012
8259,-0.945611999,-2.098144625,-0.800954012
8264,-1.666530281,3.206737523,0.582142291
8283,-0.69112451,-1.474807475,-1.98960835
8284,1.454573012,-0.310823428,-0.584246282
8285,1.454573012,-0.310823428,-0.584246282
8290,0.018971142,0.365759806,-0.667618909
8297,-2.401748007,-1.56166178,1.131570988
8306,-0.877108776,-1.517470543,-1.582368622
8307,-0.877108776,-1.517470543,-1.582368622
8311,-3.119097924,-5.443965907,1.861824612
8312,-0.985554699,-0.597684331,-0.337408985
8326,0.418724085,-0.523973322,-2.358274489
8334,-0.079319424,-0.862683961,-2.030104443
8335,-0.079319424,-0.862683961,-2.030104443
8337,-1.639215466,0.366425655,1.32777211
8343,-1.279880478,1.62305839,-0.91618929
8351,1.405925897,-1.481470329,-1.208202624
8354,5.095200197,-2.863663302,1.177576846
8357,-1.229629213,3.758024495,0.151238669
8365,1.743537647,0.763108064,-0.167289076
8366,-0.641836895,-1.028205514,-0.962148999
8369,-0.377099302,-1.180117198,-1.786390083
8376,1.397523774,-2.753590887,-1.199650777
8386,-0.520703611,-2.081521332,-1.331524209
8387,1.727358578,-0.887595865,-1.364401975
8419,1.714462528,-1.583294932,-0.303567415
8420,0.129915261,0.421768684,-0.838881839
8422,0.576258241,-0.512539011,-1.935494089
8424,7.881693565,-3.264473614,-3.899410173
8426,-0.351322916,-1.333786823,-1.734581369
8427,-0.351322916,-1.333786823,-1.734581369
