,rice_ph,rice_cec
IRIS_313-12344,51,203
IRIS_313-12346,57,158
IRIS_313-12347,56,168
IRIS_313-12348,52,194
IRIS_313-12349,54,188
IRIS_313-12350,54,213
IRIS_313-12352,54,197
IRIS_313-12353,55,213
IRIS_313-12354,52,207
IRIS_313-12355,56,209
IRIS_313-8638,NA,NA
IRIS_313-9198,53,178
IRGC_31,49,177
IRGC_44076,50,204
IRGC_71494,54,245
IRGC_71524,52,248
IRGC_71528,51,282
IRGC_71589,53,246
IRGC_71598,53,212
IRIS_313-10428,49,177
IRIS_313-10684,55,225
IRIS_313-10687,NA,NA
IRIS_313-10688,49,177
IRIS_313-10694,49,177
IRIS_313-10695,49,177
IRIS_313-10697,49,177
IRIS_313-10698,49,177
IRIS_313-10699,49,177
IRIS_313-10700,49,177
IRIS_313-10701,49,177
IRIS_313-10702,49,177
IRIS_313-10703,49,177
IRIS_313-10704,55,207
IRIS_313-10705,49,177
IRIS_313-10706,49,177
IRIS_313-10707,49,177
IRIS_313-11328,49,150
IRIS_313-11329,50,204
IRIS_313-11848,50,259
IRIS_313-11849,49,177
IRIS_313-11850,49,177
IRIS_313-12005,49,177
IRIS_313-12006,49,177
IRIS_313-12030,49,177
IRIS_313-12070,51,225
IRIS_313-12108,48,222
IRIS_313-12135,48,222
IRIS_313-12285,49,177
IRIS_313-8279,53,230
IRIS_313-8312,52,314
IRIS_313-8316,49,177
IRIS_313-8407,49,177
IRIS_313-8439,49,177
IRIS_313-8468,49,177
IRIS_313-8492,52,262
IRIS_313-8557,49,177
IRIS_313-8591,49,177
IRIS_313-8626,50,204
IRIS_313-8723,49,177
IRIS_313-8781,49,177
IRIS_313-8811,55,273
IRIS_313-8883,54,247
IRIS_313-8894,54,255
IRIS_313-8987,51,214
IRIS_313-9050,52,230
IRIS_313-9070,49,177
IRIS_313-9101,52,183
IRIS_313-9102,50,288
IRIS_313-9187,55,255
IRIS_313-9210,49,177
IRIS_313-9375,53,219
IRIS_313-9558,52,202
IRIS_313-9582,48,222
IRIS_313-9694,52,184
IRIS_313-9699,49,177
IRGC_33130,56,218
IRGC_33888,56,218
IRIS_313-11195,56,218
IRIS_313-11405,56,218
IRIS_313-11541,62,231
IRIS_313-11542,55,242
IRIS_313-11543,60,235
IRIS_313-11544,55,242
IRIS_313-11545,55,207
IRIS_313-11546,55,207
IRIS_313-11547,55,242
IRIS_313-11548,55,207
IRIS_313-11549,55,207
IRIS_313-11816,56,218
IRIS_313-11817,56,218
IRIS_313-11818,56,218
IRIS_313-11819,56,218
IRIS_313-11820,56,218
IRIS_313-11993,63,235
IRIS_313-12050,60,177
IRIS_313-12074,63,235
IRIS_313-12266,55,224
IRIS_313-12268,55,219
IRIS_313-12269,53,226
IRIS_313-12270,55,219
IRIS_313-12286,NA,NA
IRIS_313-12287,NA,NA
IRIS_313-12288,NA,NA
IRIS_313-12289,57,120
IRIS_313-12290,54,201
IRIS_313-12291,59,178
