"species","gene","pvalue"
"arabidopsis","AT2G13950",3.239291e-06
"arabidopsis","AT2G20190",3.305054e-06
"arabidopsis","AT2G20208",3.305054e-06
"arabidopsis","AT2G20210",3.305054e-06
"arabidopsis","AT2G20230",3.305054e-06
"arabidopsis","AT2G20240",3.305054e-06
"arabidopsis","AT2G20250",3.305054e-06
"arabidopsis","AT2G20260",3.305054e-06
"arabidopsis","AT2G20270",3.305054e-06
"arabidopsis","AT5G04920",3.486818e-06
"arabidopsis","AT5G04930",3.486818e-06
"arabidopsis","AT5G04940",3.486818e-06
"arabidopsis","AT5G04950",3.486818e-06
"arabidopsis","AT5G04960",3.486818e-06
"arabidopsis","AT5G04970",3.486818e-06
"arabidopsis","AT5G04980",3.486818e-06
"arabidopsis","AT5G04990",3.486818e-06
"arabidopsis","AT5G05000",3.486818e-06
"arabidopsis","AT5G05010",3.486818e-06
"arabidopsis","AT5G05020",3.486818e-06
"arabidopsis","AT5G05030",3.486818e-06
"arabidopsis","AT5G05040",3.486818e-06
"arabidopsis","AT5G46340",3.486818e-06
"arabidopsis","AT5G46350",3.486818e-06
"arabidopsis","AT5G46360",3.486818e-06
"arabidopsis","AT5G46370",3.486818e-06
"arabidopsis","AT5G46380",3.486818e-06
"arabidopsis","AT5G46390",3.486818e-06
"arabidopsis","AT5G46400",3.486818e-06
"arabidopsis","AT5G46410",3.486818e-06
"arabidopsis","AT5G46417",3.486818e-06
"arabidopsis","AT5G46420",3.486818e-06
"arabidopsis","AT5G46430",3.486818e-06
"arabidopsis","AT5G46440",3.486818e-06
"arabidopsis","AT5G46450",3.486818e-06
"arabidopsis","AT5G46460",3.486818e-06
"arabidopsis","AT5G46470",3.486818e-06
"arabidopsis","AT5G48320",3.486818e-06
"arabidopsis","AT5G48330",3.486818e-06
"arabidopsis","AT5G48335",3.486818e-06
"arabidopsis","AT5G48340",3.486818e-06
"arabidopsis","AT5G48350",3.486818e-06
"arabidopsis","AT5G48360",3.486818e-06
"arabidopsis","AT5G48370",3.486818e-06
"arabidopsis","AT5G48375",3.486818e-06
"arabidopsis","AT5G48380",3.486818e-06
"arabidopsis","AT5G48385",3.486818e-06
"arabidopsis","AT5G48390",3.486818e-06
"arabidopsis","AT5G48400",3.486818e-06
"arabidopsis","AT5G48410",3.486818e-06
"arabidopsis","AT5G48412",3.486818e-06
"arabidopsis","AT5G48420",3.486818e-06
"arabidopsis","AT5G48430",3.486818e-06
"arabidopsis","AT5G48440",3.486818e-06
"arabidopsis","AT5G48450",3.486818e-06
"arabidopsis","AT1G14850",3.964836e-06
"arabidopsis","AT1G14860",3.964836e-06
"arabidopsis","AT1G14870",3.964836e-06
"arabidopsis","AT1G14880",3.964836e-06
"arabidopsis","AT1G14890",3.964836e-06
"arabidopsis","AT1G14900",3.964836e-06
"arabidopsis","AT1G14910",3.964836e-06
"arabidopsis","AT1G14920",3.964836e-06
"arabidopsis","AT1G14930",3.964836e-06
"arabidopsis","AT1G14940",3.964836e-06
"arabidopsis","AT1G14950",3.964836e-06
"arabidopsis","AT1G14960",3.964836e-06
"arabidopsis","AT1G14970",3.964836e-06
"arabidopsis","AT1G14980",3.964836e-06
"arabidopsis","AT1G14990",3.964836e-06
"arabidopsis","AT1G15000",3.964836e-06
"arabidopsis","AT1G15002",3.964836e-06
"arabidopsis","AT2G17620",4.235094e-06
"arabidopsis","AT2G17630",4.235094e-06
"arabidopsis","AT2G17640",4.235094e-06
"arabidopsis","AT1G14270",4.249035e-06
"arabidopsis","AT1G14280",4.249035e-06
"arabidopsis","AT1G14290",4.249035e-06
"arabidopsis","AT1G14300",4.249035e-06
"arabidopsis","AT1G14310",4.249035e-06
"arabidopsis","AT1G14315",4.249035e-06
"arabidopsis","AT1G14320",4.249035e-06
"arabidopsis","AT1G14330",4.249035e-06
"arabidopsis","AT1G14340",4.249035e-06
"arabidopsis","AT1G14345",4.249035e-06
"arabidopsis","AT1G14350",4.249035e-06
"arabidopsis","AT1G14360",4.249035e-06
"arabidopsis","AT1G14370",4.249035e-06
"arabidopsis","AT1G14380",4.249035e-06
"arabidopsis","AT1G14390",4.249035e-06
"arabidopsis","AT1G52440",4.365235e-06
"arabidopsis","AT1G52450",4.365235e-06
"arabidopsis","AT1G52460",4.365235e-06
"arabidopsis","AT1G52470",4.365235e-06
"arabidopsis","AT1G52490",4.365235e-06
"arabidopsis","AT1G52500",4.365235e-06
"arabidopsis","AT1G52510",4.365235e-06
"arabidopsis","AT1G52520",4.365235e-06
"arabidopsis","AT1G52530",4.365235e-06
"arabidopsis","AT1G52540",4.365235e-06
"arabidopsis","AT1G52550",4.365235e-06
"arabidopsis","AT1G52560",4.365235e-06
"arabidopsis","AT1G52565",4.365235e-06
"arabidopsis","AT1G52570",4.365235e-06
"arabidopsis","AT1G52580",4.365235e-06
"arabidopsis","AT1G52590",4.365235e-06
"arabidopsis","AT1G52600",4.365235e-06
"arabidopsis","AT1G18820",4.936312e-06
"arabidopsis","AT1G18830",4.936312e-06
"arabidopsis","AT1G18835",4.936312e-06
"arabidopsis","AT1G18840",4.936312e-06
"arabidopsis","AT1G18850",4.936312e-06
"arabidopsis","AT1G18860",4.936312e-06
"arabidopsis","AT1G18870",4.936312e-06
"arabidopsis","AT1G18871",4.936312e-06
"arabidopsis","AT1G18879",4.936312e-06
"arabidopsis","AT1G18880",4.936312e-06
"arabidopsis","AT1G18890",4.936312e-06
"arabidopsis","AT1G18900",4.936312e-06
"arabidopsis","AT1G18910",4.936312e-06
"arabidopsis","AT1G14650",5.085425e-06
"arabidopsis","AT1G14660",5.085425e-06
"arabidopsis","AT1G14670",5.085425e-06
"arabidopsis","AT1G14680",5.085425e-06
"arabidopsis","AT1G14685",5.085425e-06
"arabidopsis","AT1G14686",5.085425e-06
"arabidopsis","AT1G14687",5.085425e-06
"arabidopsis","AT1G14688",5.085425e-06
"arabidopsis","AT1G14690",5.085425e-06
"arabidopsis","AT1G14700",5.085425e-06
"arabidopsis","AT1G14710",5.085425e-06
"arabidopsis","AT1G14720",5.085425e-06
"arabidopsis","AT1G14730",5.085425e-06
"arabidopsis","AT1G14740",5.085425e-06
"arabidopsis","AT4G15930",6.462453e-06
"arabidopsis","AT4G15940",6.462453e-06
"arabidopsis","AT4G15950",6.462453e-06
"arabidopsis","AT4G15953",6.462453e-06
"arabidopsis","AT4G15955",6.462453e-06
"arabidopsis","AT4G15960",6.462453e-06
"arabidopsis","AT4G15970",6.462453e-06
"arabidopsis","AT4G15975",6.462453e-06
"arabidopsis","AT4G15980",6.462453e-06
"arabidopsis","AT4G15990",6.462453e-06
"arabidopsis","AT4G16000",6.462453e-06
"arabidopsis","AT4G16008",6.462453e-06
"arabidopsis","AT4G16015",6.462453e-06
"arabidopsis","AT4G16024",6.462453e-06
"arabidopsis","AT4G16030",6.462453e-06
"arabidopsis","AT5G57340",7.097913e-06
"arabidopsis","AT5G57345",7.097913e-06
"arabidopsis","AT5G57350",7.097913e-06
"arabidopsis","AT5G57360",7.097913e-06
"arabidopsis","AT5G57370",7.097913e-06
"arabidopsis","AT5G57380",7.097913e-06
"arabidopsis","AT5G57390",7.097913e-06
"arabidopsis","AT5G57391",7.097913e-06
"arabidopsis","AT5G57400",7.097913e-06
"arabidopsis","AT5G57410",7.097913e-06
"arabidopsis","AT5G57420",7.097913e-06
"arabidopsis","AT5G57440",7.097913e-06
"arabidopsis","AT5G57450",7.097913e-06
"arabidopsis","AT5G57460",7.097913e-06
"arabidopsis","AT2G13895",7.559973e-06
"arabidopsis","AT2G13900",7.559973e-06
"arabidopsis","AT3G50190",8.242132e-06
"arabidopsis","AT3G50200",8.242132e-06
"arabidopsis","AT3G50210",8.242132e-06
"arabidopsis","AT3G50220",8.242132e-06
"arabidopsis","AT3G50230",8.242132e-06
"arabidopsis","AT3G50240",8.242132e-06
"arabidopsis","AT3G50250",8.242132e-06
"arabidopsis","AT3G50260",8.242132e-06
"arabidopsis","AT3G50270",8.242132e-06
"arabidopsis","AT3G50280",8.242132e-06
"arabidopsis","AT3G50290",8.242132e-06
"arabidopsis","AT3G50300",8.242132e-06
"arabidopsis","AT3G50310",8.242132e-06
"arabidopsis","AT3G50320",8.242132e-06
"arabidopsis","AT3G50330",8.242132e-06
"arabidopsis","AT4G25740",8.26817e-06
"arabidopsis","AT4G25750",8.26817e-06
"arabidopsis","AT4G25760",8.26817e-06
"arabidopsis","AT4G25770",8.26817e-06
"arabidopsis","AT4G25780",8.26817e-06
"arabidopsis","AT4G25790",8.26817e-06
"arabidopsis","AT4G25800",8.26817e-06
"arabidopsis","AT4G25810",8.26817e-06
"arabidopsis","AT4G25820",8.26817e-06
"arabidopsis","AT4G25830",8.26817e-06
"arabidopsis","AT4G25835",8.26817e-06
"arabidopsis","AT4G25840",8.26817e-06
