"Lines","Long","Lat","crop","n_value","log_n"
"PLS104",-16.15,14.8333333,"pearl_millet",71,1.85125834871908
"PLS113",-16.1572591,14.8564659,"pearl_millet",65,1.81291335664286
"PLS118",-15.9833333,14.8666667,"pearl_millet",61,1.78532983501077
"PLS112",-16.2166667,14.8833333,"pearl_millet",89,1.94939000664491
"PLS106",-16.2036778,14.8943722,"pearl_millet",73,1.86332286012046
"PLS121",-15.9541139,14.8964472,"pearl_millet",77,1.88649072517248
"PLS204",-16.4450861,14.9008778,"pearl_millet",72,1.85733249643127
"PLS182",-16.861726,14.9053549,"pearl_millet",76,1.88081359228079
"PLS223",-16.2700694,14.9110528,"pearl_millet",84,1.92427928606188
"PLS184",-16.9333333,14.9166667,"pearl_millet",101,2.00432137378264
"PLS116",-16.2,14.9333333,"pearl_millet",57,1.75587485567249
"PLS185",-16.9833333,14.9333333,"pearl_millet",106,2.02530586526477
"PLS198",-16.3666667,14.9333333,"pearl_millet",66,1.81954393554187
"PLS221",-16.3741,14.9380417,"pearl_millet",74,1.86923171973098
"PLS147",-16.4190528,14.9394361,"pearl_millet",65,1.81291335664286
"PLS123",-15.8833333,14.95,"pearl_millet",71,1.85125834871908
"PLS181",-16.9833333,14.95,"pearl_millet",102,2.00860017176192
"PLS115",-16.2989732,14.9533414,"pearl_millet",58,1.76342799356294
"PLS114",-16.3308025,14.9600008,"pearl_millet",74,1.86923171973098
"PLS125",-15.7833333,14.9666667,"pearl_millet",65,1.81291335664286
"PLS183",-16.9,14.9666667,"pearl_millet",67,1.82607480270083
"PLS46",-16.8666667,14.9666667,"pearl_millet",84,1.92427928606188
"PLS80",-16.46045,14.9720333,"pearl_millet",97,1.98677173426624
"PLS216",-16.7584134,14.9971074,"pearl_millet",82,1.91381385238372
"PLS222",-16.7584134,14.997108,"pearl_millet",82,1.91381385238372
"PLS151",-16.4166667,15,"pearl_millet",101,2.00432137378264
"PLS88",-16.4048139,15.0010361,"pearl_millet",106,2.02530586526477
"PLS235",-16.2503158,15.0376971,"pearl_millet",41,1.61278385671974
"PLS230",-16.2503158,15.0376975,"pearl_millet",41,1.61278385671974
"PLS137",-16.3333333,15.0666667,"pearl_millet",50,1.69897000433602
"PLS202",-16.6216667,15.1097222,"pearl_millet",82,1.91381385238372
"PLS196",-16.68,15.1175,"pearl_millet",97,1.98677173426624
"PLS208",-16.6568056,15.1287972,"pearl_millet",93,1.96848294855394
"PLS189",-16.1166667,15.1666667,"pearl_millet",46,1.66275783168157
"PLS138",-16.5697222,15.1769444,"pearl_millet",66,1.81954393554187
"PLS195",-16.7425,15.1769444,"pearl_millet",91,1.95904139232109
"PLS192",-16.6666667,15.2333333,"pearl_millet",70,1.84509804001426
"PLS186",-16.5166667,15.25,"pearl_millet",49,1.69019608002851
"PLS191",-16.6833333,15.3,"pearl_millet",94,1.9731278535997
"PLS187",-16.5428,15.3667722,"pearl_millet",52,1.7160033436348
"PLS226",-16.2166667,15.5333333,"pearl_millet",98,1.9912260756925
"PLS190",-16.5333333,15.5666667,"pearl_millet",76,1.88081359228079
"PLS124",-16.0477778,15.6502778,"pearl_millet",69,1.83884909073726
"PLS188",-16.3,15.8333333,"pearl_millet",50,1.69897000433602
