,maize_cec
SEEDGWAS1632:MRG:4:250070570,192
SEEDGWAS1633:MRG:4:250070571,193
SEEDGWAS1634:MRG:4:250070572,225
SEEDGWAS1635:MRG:4:250070573,229
SEEDGWAS1636:MRG:4:250070574,213
SEEDGWAS1638:MRG:4:250070575,212
SEEDGWAS1639:MRG:4:250070576,231
SEEDGWAS164:MRG:4:250056128,189
SEEDGWAS1641:MRG:4:250070577,219
SEEDGWAS1643:MRG:4:250070578,203
SEEDGWAS1644:MRG:4:250070579,206
SEEDGWAS1647:MRG:4:250070582,201
SEEDGWAS1648:MRG:4:250070583,201
SEEDGWAS1651:MRG:4:250070587,NA
SEEDGWAS1652:MRG:4:250070588,193
SEEDGWAS1653:MRG:4:250070589,193
SEEDGWAS1654:MRG:4:250070590,267
SEEDGWAS1655:MRG:4:250070591,209
SEEDGWAS1656:MRG:4:250070592,209
SEEDGWAS1658:MRG:4:250070593,NA
SEEDGWAS1660:MRG:4:250070595,149
SEEDGWAS1661:MRG:4:250070596,234
SEEDGWAS1662:MRG:4:250070597,202
SEEDGWAS1663:MRG:4:250070598,209
SEEDGWAS1665:MRG:4:250070599,251
SEEDGWAS1666:MRG:4:250070600,NA
SEEDGWAS1667:MRG:4:250070601,231
SEEDGWAS1668:MRG:4:250070602,315
SEEDGWAS1669:MRG:4:250070603,NA
SEEDGWAS167:MRG:4:250056129,226
SEEDGWAS1670:MRG:4:250070604,NA
SEEDGWAS1671:MRG:4:250070605,158
SEEDGWAS1673:MRG:4:250062636,293
SEEDGWAS1674:MRG:4:250062637,227
SEEDGWAS1676:MRG:4:250062638,NA
SEEDGWAS1679:MRG:4:250062639,203
SEEDGWAS168:MRG:4:250056130,230
SEEDGWAS1680:MRG:4:250062640,209
SEEDGWAS1681:MRG:4:250062641,253
SEEDGWAS1682:MRG:4:250062642,NA
SEEDGWAS1683:MRG:4:250062643,NA
SEEDGWAS1684:MRG:4:250062644,NA
SEEDGWAS1685:MRG:4:250062645,NA
SEEDGWAS1689:MRG:4:250062647,241
SEEDGWAS169:MRG:4:250056131,212
SEEDGWAS1690:MRG:4:250062648,222
SEEDGWAS1691:MRG:4:250062649,315
SEEDGWAS1693:MRG:4:250062650,178
SEEDGWAS1694:MRG:4:250062651,215
SEEDGWAS1695:MRG:4:250062652,178
SEEDGWAS1696:MRG:4:250062653,179
SEEDGWAS1697:MRG:4:250062654,191
SEEDGWAS1698:MRG:4:250062655,208
SEEDGWAS170:MRG:4:250056132,240
SEEDGWAS1701:MRG:4:250062658,NA
SEEDGWAS1704:MRG:4:250062661,229
SEEDGWAS1705:MRG:4:250062662,215
SEEDGWAS1707:MRG:4:250062663,377
SEEDGWAS1708:MRG:4:250062664,228
SEEDGWAS1709:MRG:4:250062665,175
SEEDGWAS171:MRG:4:250056133,225
SEEDGWAS1710:MRG:4:250062667,172
SEEDGWAS1711:MRG:4:250062668,215
SEEDGWAS1712:MRG:4:250062669,173
SEEDGWAS1713:MRG:4:250062670,239
SEEDGWAS1714:MRG:4:250062671,239
SEEDGWAS1715:MRG:4:250062672,198
SEEDGWAS1716:MRG:4:250062673,198
SEEDGWAS1717:MRG:4:250062674,239
SEEDGWAS1719:MRG:4:250062675,239
SEEDGWAS172:MRG:4:250056134,212
SEEDGWAS1720:MRG:4:250062676,239
SEEDGWAS1721:MRG:4:250062677,232
SEEDGWAS1722:MRG:4:250062678,209
SEEDGWAS1723:MRG:4:250062679,172
SEEDGWAS1725:MRG:4:250062681,165
SEEDGWAS1726:MRG:4:250062682,165
SEEDGWAS1727:MRG:4:250062683,165
SEEDGWAS1728:MRG:4:250062684,165
SEEDGWAS1729:MRG:4:250062685,228
SEEDGWAS173:MRG:4:250056135,232
SEEDGWAS1730:MRG:4:250062686,228
SEEDGWAS1731:MRG:4:250062687,214
SEEDGWAS1732:MRG:4:250062688,245
SEEDGWAS1733:MRG:4:250062689,192
SEEDGWAS1736:MRG:4:250062690,245
SEEDGWAS1737:MRG:4:250062691,245
SEEDGWAS1739:MRG:4:250062692,245
SEEDGWAS174:MRG:4:250056136,225
SEEDGWAS1740:MRG:4:250062693,320
SEEDGWAS1741:MRG:4:250062694,NA
SEEDGWAS1742:MRG:4:250062695,198
SEEDGWAS1743:MRG:4:250062696,198
