,rice_cec
IRIS_313-12336,201
IRIS_313-12337,191
IRIS_313-12341,205
IRIS_313-12342,178
IRIS_313-12344,203
IRIS_313-12346,158
IRIS_313-12347,168
IRIS_313-12348,194
IRIS_313-12349,188
IRIS_313-12350,213
IRIS_313-12352,197
IRIS_313-12353,213
IRIS_313-12354,207
IRIS_313-12355,209
IRIS_313-8638,NA
IRIS_313-9198,178
IRGC_31,177
IRGC_44076,204
IRGC_71494,245
IRGC_71524,248
IRGC_71528,282
IRGC_71589,246
IRGC_71598,212
IRIS_313-10428,177
IRIS_313-10684,225
IRIS_313-10687,NA
IRIS_313-10688,177
IRIS_313-10694,177
IRIS_313-10695,177
IRIS_313-10697,177
IRIS_313-10698,177
IRIS_313-10699,177
IRIS_313-10700,177
IRIS_313-10701,177
IRIS_313-10702,177
IRIS_313-10703,177
IRIS_313-10704,207
IRIS_313-10705,177
IRIS_313-10706,177
IRIS_313-10707,177
IRIS_313-11328,150
IRIS_313-11329,204
IRIS_313-11848,259
IRIS_313-11849,177
IRIS_313-11850,177
IRIS_313-12005,177
IRIS_313-12006,177
IRIS_313-12030,177
IRIS_313-12070,225
IRIS_313-12108,222
IRIS_313-12135,222
IRIS_313-12285,177
IRIS_313-8279,230
IRIS_313-8312,314
IRIS_313-8316,177
IRIS_313-8407,177
IRIS_313-8439,177
IRIS_313-8468,177
IRIS_313-8492,262
IRIS_313-8557,177
IRIS_313-8591,177
IRIS_313-8626,204
IRIS_313-8723,177
IRIS_313-8781,177
IRIS_313-8811,273
IRIS_313-8883,247
IRIS_313-8894,255
IRIS_313-8987,214
IRIS_313-9050,230
IRIS_313-9070,177
IRIS_313-9101,183
IRIS_313-9102,288
IRIS_313-9187,255
IRIS_313-9210,177
IRIS_313-9375,219
IRIS_313-9558,202
IRIS_313-9582,222
IRIS_313-9694,184
IRIS_313-9699,177
IRGC_33130,218
IRGC_33888,218
IRIS_313-11195,218
IRIS_313-11405,218
IRIS_313-11541,231
IRIS_313-11542,242
IRIS_313-11543,235
IRIS_313-11544,242
IRIS_313-11545,207
IRIS_313-11546,207
IRIS_313-11547,242
IRIS_313-11548,207
IRIS_313-11549,207
IRIS_313-11816,218
IRIS_313-11817,218
IRIS_313-11818,218
IRIS_313-11819,218
IRIS_313-11820,218
IRIS_313-11993,235
IRIS_313-12050,177
IRIS_313-12074,235
IRIS_313-12266,224
IRIS_313-12268,219
IRIS_313-12269,226
IRIS_313-12270,219
IRIS_313-12286,NA
IRIS_313-12287,NA
IRIS_313-12288,NA
IRIS_313-12289,120
IRIS_313-12290,201
IRIS_313-12291,178
IRIS_313-12292,NA
IRIS_313-12296,231
IRIS_313-8659,207
IRIS_313-8751,295
IRIS_313-8793,242
IRIS_313-9182,218
IRGC_61953,243
IRIS_313-10007,154
IRIS_313-10924,243
IRIS_313-10925,243
IRIS_313-10926,243
IRIS_313-10927,243
IRIS_313-11561,153
IRIS_313-11563,166
IRIS_313-11564,165
IRIS_313-11565,146
IRIS_313-11566,150
IRIS_313-11567,162
IRIS_313-11568,NA
IRIS_313-11624,214
IRIS_313-11625,214
IRIS_313-11626,245
IRIS_313-11627,239
IRIS_313-11629,208
IRIS_313-11630,256
IRIS_313-11632,194
IRIS_313-11671,167
IRIS_313-11672,284
IRIS_313-11943,243
IRIS_313-11944,243
IRIS_313-12093,243
IRIS_313-12139,238
IRIS_313-12180,228
IRIS_313-12182,175
IRIS_313-12183,274
IRIS_313-7933,NA
IRIS_313-9698,204
IRGC_27798,200
IRGC_27819,200
IRGC_27869,200
IRGC_28134,200
IRGC_38698,209
IRGC_67019,160
IRGC_73118,199
IRGC_73124,164
IRGC_73126,164
IRIS_313-11020,200
IRIS_313-11021,200
IRIS_313-11022,200
IRIS_313-11023,200
IRIS_313-11024,200
IRIS_313-11025,200
IRIS_313-11026,200
IRIS_313-11027,200
IRIS_313-11028,160
IRIS_313-11029,200
IRIS_313-11030,200
IRIS_313-11031,200
IRIS_313-11032,200
IRIS_313-11033,163
IRIS_313-11034,200
IRIS_313-11035,163
IRIS_313-11036,200
IRIS_313-11037,200
IRIS_313-11829,180
IRIS_313-11888,170
IRIS_313-11889,148
IRIS_313-8390,200
IRIS_313-8398,200
IRIS_313-9283,164
IRIS_313-9449,176
IRIS_313-9601,173
IRIS_313-9695,199
IRGC_121705,210
IRGC_23364,258
IRGC_26872,191
IRGC_328,212
IRGC_3849,210
IRGC_4020,210
IRGC_44455,227
IRGC_44513,217
IRGC_44600,280
IRGC_5423,210
IRGC_55418,258
IRGC_67428,210
IRGC_67429,270
IRGC_67431,210
IRGC_74606,215
IRGC_8182,210
IRGC_8244,210
IRGC_8245,210
IRGC_9804,210
IRIS_313-10433,210
IRIS_313-10489,210
IRIS_313-10510,210
IRIS_313-10511,210
IRIS_313-10514,210
IRIS_313-10577,246
IRIS_313-10578,217
IRIS_313-10580,217
IRIS_313-10581,172
IRIS_313-10582,264
IRIS_313-10644,196
IRIS_313-10645,196
IRIS_313-10827,202
IRIS_313-10828,212
IRIS_313-10829,212
IRIS_313-10830,220
IRIS_313-10831,212
IRIS_313-10832,212
IRIS_313-10917,216
IRIS_313-10918,216
IRIS_313-10919,216
IRIS_313-10920,216
IRIS_313-10931,212
IRIS_313-10990,213
IRIS_313-10991,NA
IRIS_313-10992,295
IRIS_313-10993,248
IRIS_313-10994,248
IRIS_313-11097,NA
IRIS_313-11196,271
IRIS_313-11234,316
IRIS_313-11330,214
IRIS_313-11331,310
IRIS_313-11334,310
IRIS_313-11335,192
IRIS_313-11336,212
IRIS_313-11337,165
IRIS_313-11338,199
IRIS_313-11339,210
IRIS_313-11340,191
IRIS_313-11341,310
IRIS_313-11342,251
IRIS_313-11343,288
IRIS_313-11344,347
IRIS_313-11345,310
IRIS_313-11346,268
IRIS_313-11347,NA
IRIS_313-11377,217
IRIS_313-11379,135
IRIS_313-11380,195
IRIS_313-11381,206
IRIS_313-11424,203
IRIS_313-11441,192
IRIS_313-11463,208
IRIS_313-11464,159
IRIS_313-11465,295
IRIS_313-11467,191
IRIS_313-11471,187
IRIS_313-11472,200
IRIS_313-11473,215
IRIS_313-11485,NA
IRIS_313-11511,281
IRIS_313-11512,258
IRIS_313-11532,191
IRIS_313-11673,202
IRIS_313-11736,262
IRIS_313-11788,NA
IRIS_313-11851,216
IRIS_313-11913,180
IRIS_313-11928,212
IRIS_313-11929,212
IRIS_313-11934,232
IRIS_313-11959,182
IRIS_313-11994,220
IRIS_313-11995,220
IRIS_313-11996,218
IRIS_313-12051,210
IRIS_313-12066,210
IRIS_313-12067,210
IRIS_313-12073,220
IRIS_313-12080,210
IRIS_313-12081,210
IRIS_313-12244,NA
IRIS_313-12271,174
IRIS_313-12272,201
IRIS_313-8292,210
IRIS_313-8356,182
IRIS_313-8383,210
IRIS_313-8431,203
IRIS_313-8567,295
